,Procurement,Industry,Company,Time,Results
15,Procurement of 1212-234mz2023024 Zhangzhou Municipal Health Commission (Zhangzhou Medical Equipment Centralized Procurement Working Group Office) Digital Subtraction Angiography (including high pressure injector) procurement project(1),Medical equipment & medicine,Project Name:Zhangzhou Municipal Health Commission (Zhangzhou Medical Equipment Centralized Procurement Working Group Office) Digital Subtraction Angiography (including high pressure injector) procurement projectBidding NO  :****-***mz*******Bidding Content:* DSA system (incl...,2023-08-23,Tender Awards
16,Procurement of 1448-234FZ2023077 Construction Project of Key Laboratory for Preparation and Application of Green Catalytic Materials (Contract Package 1)(2),Apparatus and Meter,"fazhengxiangmuguanlijituanyouxiangongsi entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding...",2023-08-23,New Tenders
17,Procurement of 0834-2341SH23A283 Physiological and toxicological detection system for biomaterials(2),Apparatus and Meter,"Shanghai CNTC  Tendering Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com o...",2023-08-23,New Tenders
18,Procurement of 2573-234AHSZC2068/02 Cutting machine for BOPI film production line of the new flexible electronic polyimide film material project(1),Others ,"Anhui Public Resources Trading Group Project Management Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was rel...",2023-08-23,New Tenders
19,"Procurement of 2573-234AHSZC2068/01 Procurement of slitting machines for BOPI film production line in the new flexible electronic polyimide film material project of Hefei Guofeng Advanced Basic Materials Technology Co., Ltd(1)",Others ,"Anhui Public Resources Trading Group Project Management Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was rel...",2023-08-23,New Tenders
20,Procurement of 0801-234ZJ2223524/02 SOC and Memory Testing Machine (ATE)(Rebidding)(2),Apparatus and Meter,"Project Name:SOC and Memory Testing Machine (ATE)(Rebidding)Bidding NO  :****-***ZJ*******/**Bidding Content:SOC and Memory Testing Machine (ATE)Bidding Agency:Zhejiang International Bidding Company LimitedPurchasers:CETHIK WUXI TECHNOLOGY CO.,LTD.Open-Time of Bids:****-**-**...",2023-08-23,Evaluation Results
21,Procurement of 2934-234BYZB23725 Imported electronic gastroenteroscopy system(1),Medical equipment & medicine,Project Name:Imported electronic gastroenteroscopy systemBidding NO  :****-***BYZB*****Bidding Content:Imported electronic gastroscopy system (see bidding documents for procurement requirements)Bidding Agency:jilinshengboyangzhaobiaoxiangmuguanliyouxiangongsiPurchasers:Da An ...,2023-08-23,Tender Awards
22,Procurement of 2464-234SHOU7G006 Purchase project of Microinjection system of Shanghai Ocean University(1),Apparatus and Meter,"Project Name:Purchase project of Microinjection system of Shanghai Ocean UniversityBidding NO  :****-***SHOU*G***Bidding Content:*.Name of Products:Microinjection system;Q'ty (Set):*Set;Brief technical specifications:Used for injecting trace amounts of DNA, RNA, protein molec...",2023-08-23,Tender Awards
23,Procurement of 4197-214BOEDTK001/04 Equipment Procurement Project of G8.5 TFT-LCD 120K Capability up(2),Electronic & communications,"Clarify or change:Ending of Selling Bidding Documents changedChina Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Comp...",2023-08-23,Tenders Changes
24,Procurement of 1639-234126130294 Shanghai Tongren Hospital intraaortic balloon anti-bobo pump medical equipment project(1),Machining,"Project Name:Shanghai Tongren Hospital intraaortic balloon anti-bobo pump medical equipment projectBidding NO  :****-************Bidding Content:Intra-aortic balloon reverse pumpBidding Agency:Shanghai Machinery Complete Equipment Group Corp.,Ltd.Purchasers:ShangHai ChangNing...",2023-08-23,Tender Awards
25,Procurement of 2464-234SHOU7G005 Purchase project of High Connotation Microscopic Imager of Shanghai Ocean University(1),Apparatus and Meter,Project Name:Purchase project of High Connotation Microscopic Imager of Shanghai Ocean UniversityBidding NO  :****-***SHOU*G***Bidding Content:*.Name of Products:High Connotation Microscopic Imager;Q'ty (Set):*Set;Brief technical specifications:Used for High throughput screen...,2023-08-23,Tender Awards
26,Procurement of 0613-234025253391 3D X-ray tomography machine(2),Apparatus and Meter,"Project Name:*D X-ray tomography machineBidding NO  :****-************Bidding Content:*D X-ray tomography machineBidding Agency:Shanghai Machinery & Electric Equipment Tendering Co.,Ltd.Purchasers:Xiamen AKM Meadville Science & Technologies  Co. Ltd.Open-Time of Bids:****-**-...",2023-08-23,Evaluation Results
27,Procurement of 2464-234SHOU7G003 Purchase project of Gas Signaling molecule and free radical detector of Shanghai Ocean University(1),Apparatus and Meter,Project Name:Purchase project of Gas Signaling molecule and free radical detector of Shanghai Ocean UniversityBidding NO  :****-***SHOU*G***Bidding Content:*.Name of Products:Gas Signaling molecule and free radical detector;Q'ty (Set):*Set;Brief technical specifications:Used ...,2023-08-23,Tender Awards
28,Procurement of 2464-234SHOU7G001 : Purchase project of Stereoscopic fluorescence microscope of Shanghai Ocean University(1),Apparatus and Meter,Project Name:: Purchase project of Stereoscopic fluorescence microscope of Shanghai Ocean UniversityBidding NO  :****-***SHOU*G***Bidding Content:*.Name of Products:Stereoscopic fluorescence microscope;Q'ty (Set):*Set;Brief technical specifications:It is used for bright field...,2023-08-23,Tender Awards
29,Procurement of 2464-234SHOU7G002 Purchase project of Fully automatic three-dimensional stereoscopic microscope of Shanghai Ocean University(1),Apparatus and Meter,Project Name:Purchase project of Fully automatic three-dimensional stereoscopic microscope of Shanghai Ocean UniversityBidding NO  :****-***SHOU*G***Bidding Content:*.Name of Products:Fully automatic three-dimensional stereoscopic microscope;Q'ty (Set):*Set;Brief technical sp...,2023-08-23,Tender Awards
30,Procurement of 1225-2340AGZB2009/01 Field Emission Scanning Electron Microscope Project(2),Apparatus and Meter,"Ansteel Tendering Company Limited entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com o...",2023-08-23,New Tenders
31,Procurement of 0712-234022303068 Gas Chromatography-Mass Spectrometer 1 set for Sinopec Jiangsu Oilfield(2),Apparatus and Meter,"Project Name:Gas Chromatography-Mass Spectrometer * set for Sinopec Jiangsu OilfieldBidding NO  :****-************Bidding Content:Gas Chromatography-Mass Spectrometer * setBidding Agency:Sinopec International Co.,Ltd.Purchasers:China Petrochemical International Co.,Ltd.Open-T...",2023-08-23,Evaluation Results
32,Procurement of 0811-234DSITC1723 A batch of precision surgical instruments for complex surgery(1),Medical equipment & medicine,"Project Name:A batch of precision surgical instruments for complex surgeryBidding NO  :****-***DSITC****Bidding Content:A batch of precision surgical instruments for complex surgeryBidding Agency:Shanghai Dongsong Healthcare & Technology Co.,Ltd.Purchasers:SCMCOpen-Time of Bi...",2023-08-23,Tender Awards
33,Procurement of 0811-234DSITC1520 OCT(1),Medical equipment & medicine,"Project Name:OCTBidding NO  :****-***DSITC****Bidding Content:OCT ONE SETBidding Agency:Shanghai Dongsong Healthcare & Technology Co.,Ltd.Purchasers:Shanghai  Hospital Affilianted to Shanghai University of Traditional Chinese MedicineOpen-Time of Bids:****-**-** **:**Data of ...",2023-08-23,Tender Awards
34,"Procurement of 0623-2340J1110171 Zhuzhou CRRC Times Semiconductor Co., Ltd. S module high temperature test equipment project(Re-bid)(2)",Apparatus and Meter,"Project Name:Zhuzhou CRRC Times Semiconductor Co., Ltd. S module high temperature test equipment project(Re-bid)Bidding NO  :****-****J*******Bidding Content:* set of high-temperature test equipment for S moduleBidding Agency:Hunan Provincial Tendering Limited CompanyPurchase...",2023-08-23,Evaluation Results
35,Procurement of 0720-2340zbzx0181 ultrasonic?flowmeter for PetroChina Company Limited Tarim Oilfield Company(2),Apparatus and Meter,"China Petroleum Materials Company Limited entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabiddi...",2023-08-23,New Tenders
36,Procurement of 0705-234005030001 Bid for Gas Chromatography Mass Spectrometry Coupled Instrument Procurement Project for Shanghai Jiading District Environmental Monitoring Station(1),Apparatus and Meter,"Shanghai International Tendering Co., Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidd...",2023-08-22,New Tenders
37,Procurement of 4197-234BOEM30001/39 BOE High-end Module Project(1),"Transport, storage service","China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-22,New Tenders
38,Procurement of 4197-234BOEM30001/38 BOE High-end Module Project(1),Others ,"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-22,New Tenders
39,Procurement of 4197-214BOECQ0001/390 BOE Chongqing G6 AMOLED (FLEXIBLE) Production Line Project(1),Apparatus and Meter,"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-22,New Tenders
40,"Procurement of 0677-2340J0792114/01 Wanhua Chemical Group Material CO., Ltd. 2# ethylene electric triple offside butterfly procurement project  (1)",Machining,"Project Name:Wanhua Chemical Group Material CO., Ltd. *# ethylene electric triple offside butterfly procurement project  Bidding NO  :****-****J*******/**Bidding Content:CL*** triple offside butterfly valveBidding Agency:Shandong Zhengxin Tendering Co.,Ltd.Purchasers:WANHUA C...",2023-08-22,Tender Awards
41,"Procurement of 0677-2340J0792114/02 Wanhua Chemical Group Material CO., Ltd. 2# ethylene electric triple offside butterfly procurement project  (2)",Machining,"Project Name:Wanhua Chemical Group Material CO., Ltd. *# ethylene electric triple offside butterfly procurement project  Bidding NO  :****-****J*******/**Bidding Content:CL*** triple offside butterfly valveBidding Agency:Shandong Zhengxin Tendering Co.,Ltd.Purchasers:WANHUA C...",2023-08-22,Tender Awards
42,Procurement of 2140-2342023GJ242 Four-quadrant Amplifier Power Supply(1),Electronic & communications,"Tianjin Yitian Construction Consulting Co.,Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chin...",2023-08-22,New Tenders
43,Procurement of 4197-234BOEM30001/20 BOE High-end Module Project(2),Electronic & communications,"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-22,New Tenders
44,Procurement of 4197-234BOEM30001/19 BOE High-end Module Project(2),Electronic & communications,"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-22,New Tenders
45,Procurement of 4197-234BOEM30001/18 BOE High-end Module Project(2),Apparatus and Meter,"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-22,New Tenders
46,Procurement of 4197-234BOEM30001/17 BOE High-end Module Project(2),Apparatus and Meter,"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-22,New Tenders
47,Procurement of 4197-234BOEM30001/16 BOE High-end Module Project(2),Others ,"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-22,New Tenders
48,Procurement of 4197-234BOEM30001/15 BOE High-end Module Project(2),Others ,"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-22,New Tenders
49,Procurement of 4197-234BOEM30001/14 BOE High-end Module Project(2),Machining,"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-22,New Tenders
50,Procurement of 4197-234BOEM30001/13 BOE High-end Module Project(2),Machining,"China Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinab...",2023-08-22,New Tenders
51,Procurement of 0664-2340SUMECF94/01 Center hole seat grinding machine(1),Machining,"Clarify or change:Joint Bids are  AvailableSUMEC INTERNATIONAL TECHNOLOGY CO., LTD. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The te...",2023-08-22,Tenders Changes
52,"Procurement of 0617-234024HY1745 Shaanxi Tianbo Medical Technology Co., Ltd. Medical Equipment (I) Procurement(1)",Medical equipment & medicine,"Project Name:Shaanxi Tianbo Medical Technology Co., Ltd. Medical Equipment (I) ProcurementBidding NO  :****-******HY****Bidding Content:Electronic gastroenteroscopy, etcBidding Agency:Northwest(Shaanxi) International Tendering Co.,LtdPurchasers:shanxitianboyiliaokejiOpen-Time...",2023-08-22,Evaluation Results
53,Procurement of 0866-2340SXQY2013 Procurement of PAN Polymerizer(2),"Petroleum, chemicals ","Shaanxi Qinyuan Tendering Co., Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com...",2023-08-22,New Tenders
54,Procurement of 4197-214VISIONOX3/116 G6 Flexible AMOLED Production Line Project(2),Apparatus and Meter;其他设备;电子通信,"Project Name:G* Flexible AMOLED Production Line ProjectBidding NO  :****-***VISIONOX*/***Bidding Content:EGISBidding Agency:China Electronics Commerce (Beijing) Co., LtdPurchasers:Hefei Visionox Technology Co., Ltd.Open-Time of Bids:****-**-** **:**Ending Date of Evaluation R...",2023-08-22,Evaluation Results
55,Procurement of 4197-234BOECY0001/33 BOE G6 New Semiconductor Display Device Production Line Project(2),Machining,"Clarify or change:Change Deadline for Submitting Bids/Time of Bid OpeningChina Electronics Commerce (Beijing) Co., Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of Intern...",2023-08-22,Tenders Changes
56,Procurement of 0626-234230110058/01 High resolution cold field emission scanning electron microscope system(2),Apparatus and Meter,"Jiangsu Tendering Center Co., Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com ...",2023-08-22,New Tenders
57,Procurement of 0626-234230110058/02 High resolution cold field emission scanning electron microscope system(2),Apparatus and Meter,"Jiangsu Tendering Center Co., Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com ...",2023-08-22,New Tenders
58,Procurement of 0736-234020230116 FAW Toyota 18 * D model import project(2),Others ,"Project Name:FAW Toyota ** * D model import projectBidding NO  :****-************Bidding Content:New Energy Factory ** * D Front Suspension Robot ProcurementBidding Agency:Changchun FAW International Tendering Co.,LtdPurchasers:FAW TOYOTA MOTOR CO.,LTD.NEW ENERGY VEHICLE BRAN...",2023-08-22,Evaluation Results
59,Procurement of 0664-2340SUMECF94/01 Center hole seat grinding machine(1),Machining,"SUMEC INTERNATIONAL TECHNOLOGY CO., LTD. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabiddin...",2023-08-22,New Tenders
60,Procurement of 0626-234230110057/01 Low temperature sample preparation system(2),Apparatus and Meter,"Jiangsu Tendering Center Co., Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com ...",2023-08-22,New Tenders
61,Procurement of 0626-234230110057/02 Low temperature sample preparation system(2),Apparatus and Meter,"Jiangsu Tendering Center Co., Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com ...",2023-08-22,New Tenders
62,Procurement of 0664-2340SUMECF98 3 d printing innovation design software(1),Others ,"SUMEC INTERNATIONAL TECHNOLOGY CO., LTD. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabiddin...",2023-08-22,New Tenders
63,Procurement of 0811-234DSITC1710 Flat plate C-arm radioscope(1),Medical equipment & medicine,"Project Name:Flat plate C-arm radioscopeBidding NO  :****-***DSITC****Bidding Content:Flat plate C-arm radioscope one setBidding Agency:Shanghai Dongsong Healthcare & Technology Co.,Ltd.Purchasers:Xin Hua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine...",2023-08-22,Evaluation Results
64,Procurement of 0811-234DSITC1655 Color ultrasound diagnostic system(1),Medical equipment & medicine,"Project Name:Color ultrasound diagnostic systemBidding NO  :****-***DSITC****Bidding Content:Color ultrasound diagnostic system one setBidding Agency:Shanghai Dongsong Healthcare & Technology Co.,Ltd.Purchasers:Xin Hua Hospital Affiliated to Shanghai Jiao Tong University Scho...",2023-08-22,Evaluation Results
65,Procurement of 0625-234023002014 Five-axis CNC machining center(1),Machining,"Project Name:Five-axis CNC machining centerBidding NO  :****-************Bidding Content:Five-axis CNC machining centerBidding Agency:Zhejiang International Tech & Equipment Tendering Co.,Ltd.Purchasers:HANGZHOU HANGYANG EXPANDER Co.,LtdOpen-Time of Bids:****-**-** **:**Endin...",2023-08-22,Evaluation Results
66,Procurement of 0679-234DFWHGG106 Plastic sealing module production equipment(2),Machining,"Project Name:Plastic sealing module production equipmentBidding NO  :****-***DFWHGG***Bidding Content:Plastic sealing module production equipmentBidding Agency:Dongfeng International Tendering Co., Ltd.Purchasers:Intelligent Power Semiconductor CO.,LTDOpen-Time of Bids:****-*...",2023-08-22,Evaluation Results
67,Procurement of 0720-2340zbzx0172 Methane expander of ethylene unit(2),Machining,Project Name:Methane expander of ethylene unitBidding NO  :****-****zbzx****Bidding Content:Name of Equipment:Methane Expander/Compressor         Quantity:* setBidding Agency:China Petroleum Materials Company LimitedPurchasers:petrochina guangxi petrochemical companyOpen-Time...,2023-08-22,Evaluation Results
68,Procurement of 0720-2340zbzx0134 Recycle gas compressor(2),Machining,Project Name:Recycle gas compressorBidding NO  :****-****zbzx****Bidding Content:Name of Equipment:Recycle gas compressor        Quantity:* setsBidding Agency:China Petroleum Materials Company LimitedPurchasers:petrochina guangxi petrochemical companyOpen-Time of Bids:****-**...,2023-08-22,Evaluation Results
69,Procurement of 0736-234020230131 Vehicle braking noise testing system(1),Apparatus and Meter,"Clarify or change:Performance requirements and changes in bidding documentsChangchun FAW International Tendering Co.,Ltd entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of Inte...",2023-08-22,Tenders Changes
70,Procurement of 1176-2340624CG03C/04 The Third Clinical Hospital affiliated to Changchun University of Traditional Chinese Medicine upgraded the hierarchical diagnosis and treatment service capacity building import procurement project(1),Medical equipment & medicine,Project Name:The Third Clinical Hospital affiliated to Changchun University of Traditional Chinese Medicine upgraded the hierarchical diagnosis and treatment service capacity building import procurement projectBidding NO  :****-*******CG**C/**Bidding Content:The Third Clinica...,2023-08-22,Evaluation Results
71,Procurement of 0753-234023253002/03 Comprehensive performance and process analysis software(1),Others ,"CHINA STATE SHIPBUILDING EQUIPMENT AND MATERIALS CORPORATION LIMITED entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was...",2023-08-22,New Tenders
72,Procurement of 0626-234230110055 Material physical properties test system(2),Apparatus and Meter,"Jiangsu Tendering Center Co., Ltd. entrusted by the purchaser, invites sealed bids from eligible suppliers home and abroad for the supply of the following goods and/or service by way of International Competitive Bidding. The tender notice was released on www.chinabidding.com ...",2023-08-22,New Tenders
73,Procurement of 1176-2340624CG03C/03 The Third Clinical Hospital affiliated to Changchun University of Traditional Chinese Medicine upgraded the hierarchical diagnosis and treatment service capacity building import procurement project(1),Medical equipment & medicine,Project Name:The Third Clinical Hospital affiliated to Changchun University of Traditional Chinese Medicine upgraded the hierarchical diagnosis and treatment service capacity building import procurement projectBidding NO  :****-*******CG**C/**Bidding Content:The Third Clinica...,2023-08-22,Evaluation Results
74,Procurement of 1708-23400400041A/01 Procurement of Ultrasound Diagnosis System by Chongqing Cancer Research Institute(1),Medical equipment & medicine,Project Name:Procurement of Ultrasound Diagnosis System by Chongqing Cancer Research InstituteBidding NO  :****-***********A/**Bidding Content:A batch of medical equipment ultrasound diagnostic systemsBidding Agency:Chongqing Government Procurement CenterPurchasers:Chongqing ...,2023-08-22,Tender Awards
75,Procurement of 1708-23400400041A/02 Procurement of Ultrasound Diagnosis System by Chongqing Cancer Research Institute(1),Medical equipment & medicine,Project Name:Procurement of Ultrasound Diagnosis System by Chongqing Cancer Research InstituteBidding NO  :****-***********A/**Bidding Content:A batch of medical equipment ultrasound diagnostic systemsBidding Agency:Chongqing Government Procurement CenterPurchasers:Chongqing ...,2023-08-22,Tender Awards
76,Procurement of 0811-234DSITC1751 ECMO(1),Medical equipment & medicine,"Project Name:ECMOBidding NO  :****-***DSITC****Bidding Content:ECMO three setsBidding Agency:Shanghai Dongsong Healthcare & Technology Co.,Ltd.Purchasers:RENJI HOSPITAL SHANGHAI JIAOTONG UNIVERSITY SCHOOL OF MEDICINEOpen-Time of Bids:****-**-** **:**Data of Evaluation Result:...",2023-08-22,Tender Awards
